date/time (Australia/Melbourne),hub serial,Demo:outside temp,Hive 1:weights,Hive 2:weights,Hive 3:weights,Hive 4:weights,"location (lat,long +/- radius)"
2000-01-01 11:00:53,H0,,0.0,,,,
2000-01-01 11:42:53,H0,,40.2,27.0,12.8,0.0,
2012-11-17 07:24:45,H0,,0.0,,,,
2012-11-17 08:01:51,H0,,0.0,,,,
2012-11-17 08:11:20,H0,,0.0,,,,
2012-11-17 08:24:45,H0,,0.0,,,,
2012-11-17 09:01:51,H0,,0.0,,,,
2012-11-17 09:11:20,H0,,0.0,,,,
2012-11-17 09:24:45,H0,,0.0,,,,
2012-11-17 10:01:51,H0,,0.0,,,,
2012-11-17 10:11:20,H0,,0.0,,,,
2012-12-04 14:14:41,H0,,43.0,27.1,16.2,0.0,
2013-01-01 12:57:38,H0,,36.8,,,,
2013-01-01 13:57:43,H0,,38.6,,,,
2013-01-01 14:57:43,H0,,38.6,,,,
2013-01-01 15:20:42,H0,,39.5,37.2,,,
2013-01-01 15:56:17,H0,,41.5,37.3,,,
2013-01-01 15:57:43,H0,,41.5,,,,
2013-01-01 16:57:32,H0,,38.7,37.3,,,
2013-01-01 17:57:32,H0,,41.7,37.3,,,
2013-01-01 18:56:26,H0,,38.9,37.4,,,
2013-01-01 19:56:26,H0,,39.2,37.4,,,
2013-01-01 20:56:26,H0,,39.1,37.4,,,
2013-01-01 21:56:26,H0,,39.0,37.4,,,
2013-01-01 22:56:26,H0,,39.2,37.4,,,
2013-01-01 23:56:26,H0,,39.3,37.6,,,
2013-01-02 00:56:26,H0,,39.1,37.5,,,
2013-01-02 01:56:26,H0,,39.3,37.4,,,
2013-01-02 02:56:26,H0,,39.3,37.4,,,
2013-01-02 03:56:26,H0,,39.2,37.3,,,
2013-01-02 04:56:26,H0,,39.2,37.3,,,
2013-01-02 05:56:26,H0,,39.1,37.3,,,
2013-01-02 06:56:26,H0,,39.0,36.8,,,
2013-01-02 10:29:20,H0,,41.3,,,,
2013-01-02 10:38:32,H0,,40.6,,,,
2013-01-02 10:39:41,H0,,40.3,,,,
2013-01-02 19:57:16,H0,,39.2,37.4,,,
2013-01-02 20:57:16,H0,,39.0,37.4,,,
